"section","claim_or_context","recommended_reference_type","candidate_references","placement_note"
"Introduction","GVHD remains a major complication after allogeneic hematopoietic cell transplantation.","GVHD review / transplant complication overview","Zeiser and Blazar, 2017; Ferrara et al., 2009; Hill et al., 2021","Good in Introduction first paragraph."
"Introduction","Skin is a frequent target organ and cutaneous GVHD manifests with epithelial/interface injury.","Cutaneous GVHD clinical/pathology review","Hymes et al., 2012; add cutaneous GVHD clinical/pathology reference if available","Use where describing skin GVHD target-organ biology."
"Introduction","GVHD pathogenesis involves tissue injury, inflammatory cytokines, antigen presentation, donor T-cell activation, and target-organ damage.","Classic GVHD pathophysiology review","Ferrara et al., 2009; Zeiser and Blazar, 2017; Hill et al., 2021","Use in Introduction and Discussion mechanistic framing."
"Introduction","Myeloid/APC compartments bridge innate inflammation and adaptive immune activation.","GVHD APC / donor T-cell activation mechanistic literature","Shlomchik et al., 1999; Ferrara et al., 2009; Zeiser and Blazar, 2017","Use around myeloid/APC rationale."
"Introduction","Cytotoxic T/NK effector pathways may contribute to epithelial injury.","GVHD cytotoxic effector pathway literature","Graubert et al., 1997; Braun et al., 1996; Hill et al., 2021","Use around cytotoxic effector and epithelial injury discussion."
"Methods","Seurat workflow for single-cell normalization, clustering, UMAP, and module scoring.","Seurat method paper","Stuart et al., 2019","Methods only, not Discussion first paragraph."
"Methods","Interferon-response signature genes used for IFN module scoring.","Canonical IFN/ISG transcriptomic signature literature","Crow et al., 2018","Methods/Signature scoring; avoid overloading Discussion."
"Methods","Bulk RNA-seq signature scoring and tissue-level transcriptomic deconvolution/context.","Bulk transcriptomic signature / deconvolution method or transcriptomic integration reference","Newman et al., 2015; Stuart et al., 2019; Luecken et al., 2022","Methods or Discussion paragraph on cross-dataset support."
"Discussion","S100A8/A9 inflammatory monocyte and alarmin biology.","Inflammatory myeloid / S100 biology literature","Vogl et al., 2007; add GVHD/myeloid reference if available","Discussion paragraph interpreting S100 inflammatory monocytes."
"Discussion","S100A8/A9-TLR4 as an endogenous alarmin/DAMP axis.","Primary S100A8/A9-TLR4 alarmin paper","Vogl et al., 2007","Discussion ligand-receptor paragraph, specifically S100A8/A9-TLR4."
"Discussion","TNF signaling in GVHD inflammation and epithelial injury.","GVHD inflammatory cytokine literature","Ferrara et al., 2009; Zeiser and Blazar, 2017","Discussion candidate axes paragraph."
"Discussion","IL-15 axis in cytotoxic T/NK maintenance or activation.","GVHD IL-15 or cytotoxic lymphocyte biology literature","Add GVHD IL-15 reference if used prominently","Discussion candidate axes paragraph; keep cautious."
"Discussion","CCR5 and CXCR3 chemokine axes in GVHD/inflammatory lymphocyte recruitment.","GVHD chemokine recruitment literature","Add CCR5/CXCR3 GVHD recruitment references if discussed prominently","Discussion candidate axes paragraph; keep cautious."
"Discussion","Keratinocytes as targets and active participants in cutaneous GVHD.","Cutaneous GVHD / keratinocyte inflammation literature","Hymes et al., 2012; Paczesny et al., 2010; Albanesi et al., 2018","Introduction or Discussion keratinocyte injury/stress paragraph."
"Discussion","MCIS and keratinocyte stress association is exploratory and non-causal.","No citation required if stated as study limitation; can cite methods/statistics principles if needed","State as exploratory due to n=5; no causal wording","Figure 6F legend and Discussion caveat."
"Limitations","Public dataset limitations: sample size, incomplete clinical annotation, treatment heterogeneity, platform differences.","No citation required or cite public transcriptomic reanalysis limitations if available","State directly in limitations","Limitations paragraph."
