signature,gene
S100_inflammatory_monocyte,S100A8
S100_inflammatory_monocyte,S100A9
S100_inflammatory_monocyte,S100A12
S100_inflammatory_monocyte,FCN1
S100_inflammatory_monocyte,VCAN
S100_inflammatory_monocyte,LYZ
IFN_APC_myeloid,STAT1
IFN_APC_myeloid,ISG15
IFN_APC_myeloid,IFIT1
IFN_APC_myeloid,IFIT2
IFN_APC_myeloid,IFI6
IFN_APC_myeloid,CXCL9
IFN_APC_myeloid,CXCL10
IFN_APC_myeloid,HLA-DRA
IFN_APC_myeloid,CD74
HLAII_antigen_presentation,HLA-DRA
HLAII_antigen_presentation,HLA-DRB1
HLAII_antigen_presentation,HLA-DPA1
HLAII_antigen_presentation,HLA-DPB1
HLAII_antigen_presentation,HLA-DQA1
HLAII_antigen_presentation,HLA-DQB1
HLAII_antigen_presentation,CD74
HLAII_antigen_presentation,CIITA
Cytotoxic_T_NK,NKG7
Cytotoxic_T_NK,GNLY
Cytotoxic_T_NK,GZMB
Cytotoxic_T_NK,GZMA
Cytotoxic_T_NK,PRF1
Cytotoxic_T_NK,KLRD1
Cytotoxic_T_NK,FCGR3A
Cytotoxic_T_NK,CD8A
